SIZE	None	TE.DNA	TE.LTR_Retro_LINE_SINE	TE.Other	exon	intron	rRNA	tRNA	TOTAL
18	20928	37	105	365	12167	388	8	477	34475
19	20754	26	178	477	24401	1287	20	423	47566
20	30835	61	390	1054	22619	1666	3	274	56902
21	176352	235	2957	4534	96179	18047	13	673	298990
22	128254	281	6368	5645	107516	6329	7	754	255154
23	173245	1385	6129	11895	122942	10915	8	2986	329505
24	337524	3050	8760	28471	218596	23662	3	2195	622261
25	3691	33	165	236	5165	271	0	1987	11548
26	309	0	24	3	1342	192	2	429	2301
27	200	0	10	5	732	116	0	244	1307
28	133	0	2	2	714	156	2	145	1154
29	37	0	2	0	686	126	0	229	1080
30	38	0	0	0	596	166	0	258	1058
